"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","season"
"T.Morstead",5088,"P","NO",16,57,57,4.55,42.35,48.26,8.2,0,0,8,7,20,85.7,23,66,8,0,50.9,237,29,57,259.54,2414,5,2751,2016
"P.McAfee",5146,"P","IND",16,55,55,4.46,43.49,49.29,8.2,1,0,5,17,14,87.8,23,74,7,0,30.9,139,17,56,245.55,2392,9,2711,2016
"B.Colquitt",5192,"P","CLV",16,83,83,4.34,40.35,45.36,8.7,0,0,9,23,8,64.7,24,65,4,0,51.8,376,43,83,360.08,3349,2,3765,2016
"G.Gano",5443,"K","CAR",1,4,4,4.35,29.75,45,10.5,0,0,0,0,5,50.2,0,54,0,0,50,21,2,4,17.41,119,2,180,2016
"M.Bosher",6344,"P","ATL",17,55,55,4.54,41.16,46.4,9.9,0,0,6,20,2,83.3,30,68,1,0,45.5,248,25,55,249.88,2264,2,2552,2016
"C.Jones",6798,"P","DAL",17,60,60,4.66,41.4,45.93,8.7,1,0,5,19,9,82.1,27,66,10,0,36.7,192,22,61,279.71,2484,4,2756,2016
"B.Anger",7072,"P","TB",16,70,70,4.72,42.7,45.93,5.5,0,0,9,29,30,83.6,38,59,3,0,32.9,126,23,70,330.62,2989,5,3215,2016
"B.Nortman",7192,"P","JAX",16,77,77,4.52,39.47,46.6,13,0,0,14,19,15,65.4,32,78,5,0,39,389,30,77,348.09,3039,8,3588,2016
"J.Hekker",7252,"P","LA",16,98,98,4.39,46,47.76,4.3,0,0,11,40,26,80.1,57,78,11,0,35.7,152,35,98,429.87,4508,1,4680,2016
"D.Butler",7302,"P","ARZ",7,32,32,4.34,35.63,42.19,10.5,0,0,2,8,1,45,10,62,2,0,62.5,210,20,32,138.88,1140,0,1350,2016
"M.King",7410,"P","OAK",17,91,91,4.36,41.37,48.27,11.9,0,0,15,16,23,76.6,40,72,13,3,39.6,428,36,91,396.34,3765,10,4393,2016
"R.Quigley",7573,"P","ARZ",6,34,34,4.71,38.26,41.65,9.4,1,0,5,18,1,65.9,15,55,1,0,23.5,75,8,35,160.26,1301,2,1416,2016
"J.Locke",7937,"P","MIN",16,74,74,4.41,38.97,42.64,8.8,0,0,14,28,18,62.4,34,72,3,0,32.4,211,24,74,326.19,2884,3,3155,2016
"S.Martin",7947,"P","DET",17,67,67,4.45,44.28,48.39,6,0,0,8,17,11,71.9,30,63,3,0,53.7,215,36,67,297.99,2967,3,3242,2016
"C.Schmidt",8104,"P","BUF",16,75,75,4.29,38.15,42.44,6.9,0,0,7,8,4,52.8,24,58,18,0,50.7,262,38,75,321.7,2861,3,3183,2016
"R.Allen",8242,"P","NE",19,84,84,4.22,40.98,44.29,5.9,0,0,16,24,19,63,35,58,8,0,35.7,178,30,84,354.29,3442,5,3720,2016
"B.Wing",8256,"P","NYG",17,101,101,4.13,40.29,45.63,9.3,0,0,20,18,21,62.7,37,63,13,0,40.6,380,41,101,417.31,4069,8,4609,2016
"T.Way",8358,"P","WAS",16,49,49,4.41,38.92,45.08,8.2,0,0,4,7,32,69.7,18,61,7,0,55.1,222,27,49,216.05,1907,4,2209,2016
"P.O'Donnell",8826,"P","CHI",16,68,68,4.44,38.41,44.03,13.4,0,0,5,31,6,71.3,27,67,5,0,30.9,282,21,68,301.89,2612,5,2994,2016
"C.Catanzaro",9140,"K","ARZ",1,2,2,3.61,33,33,NA,0,0,1,0,1,58.8,0,47,1,0,0,0,0,2,7.21,66,0,66,2016
